data,Dis,V1,V11,V2,V3,V4,V5
1/8/2007,1.079,2.241,2.559,176.2,5.201,80.535,19.173
1/24/2007,2.893,1.528,2.826,81.6,8.041,75.833,19.728
2/8/2007,3.8,1.079,3.335,96.6,7.511,71.064,57.828
2/24/2007,1.88,2.893,3.292,168.6,5.517,72.978,7.958
3/8/2007,4.4,3.8,2.679,174.8,7.807,71.542,19.712
3/24/2007,4.598,1.88,3.111,142.2,8.36,63.545,99.846
4/8/2007,1.302,4.4,3.23,203,6.846,71.769,20.03
4/24/2007,0.728,4.598,1.963,125.8,11.023,70.223,55.138
5/8/2007,0.559,1.302,1.129,88.2,14.57,65.232,36.057
5/24/2007,0.458,0.728,0.481,86.8,16.183,56.526,10.11
6/8/2007,0.187,0.559,0.226,133.6,17.067,56.135,31.047
6/24/2007,0.035,0.458,0.114,136.2,18.489,62.934,37.776
7/8/2007,0.011,0.187,0.111,8,20.854,53.763,8.22
7/24/2007,0.04,0.035,0.164,4.2,22.964,44.953,47.113
8/8/2007,0.046,0.011,0.201,17.8,23.733,45.656,47.473
8/24/2007,0.081,0.04,0.287,101.8,21.23,55.636,29.102
9/8/2007,0.274,0.046,0.427,112,19.676,62.866,37.733
9/24/2007,0.502,0.081,1.203,91.2,18.242,66.312,67.132
10/8/2007,1.805,0.274,1.706,192.2,16.586,70.226,36.072
10/24/2007,1.796,0.502,1.963,232.8,12.251,76.706,108.177
11/8/2007,0.86,1.805,4.969,206.2,8.778,82.312,30.982
11/24/2007,2.134,1.796,5.451,137.8,6.799,78.967,88.522
12/8/2007,2.477,0.86,3.475,71.8,6.239,76.087,42.636
12/24/2007,4.299,2.134,3.244,123,4.19,80.725,7.277
1/8/2008,5.152,2.477,2.477,148.6,1.479,84.082,40.456
1/24/2008,2.471,4.299,2.615,210.2,3.347,85.496,6.99
2/8/2008,1.086,5.152,3.211,254.8,5.84,80.394,31.774
2/24/2008,3.867,2.471,3.274,107.4,4.759,72.724,34.965
3/8/2008,5.067,1.086,3.421,12.8,5.043,72.2,34.24
3/24/2008,3.848,3.867,3.613,157.4,7.104,71.025,25.367
4/8/2008,2.94,5.067,2.926,204.8,7.238,68.36,38.21
4/24/2008,1.677,3.848,1.693,223,9.099,68.022,17.045
5/8/2008,1.22,2.94,0.936,178,11.35,67.159,12.597
5/24/2008,0.757,1.677,0.448,89,13.402,68.015,107.425
6/8/2008,0.478,1.22,0.2,115.8,15.792,71.991,94.994
