data,Dis,V1,V2,V3,V4,V5
1/15/2005,0.89472,1.509,54.2,10.553,72.457,14.306
1/29/2005,2.39324,1.227,47,-0.107,70.939,3.069
2/12/2005,3.747,4.124,73.8,4.299,70.241,70.727
2/26/2005,2.25622,1.817,108.2,5.987,77.03,6.424
3/12/2005,1.4782,1.165,27.2,3.403,64.56,18.876
3/26/2005,7.86088,2.327,90.8,1.749,63.456,145.34
4/9/2005,1.3482,5.224,108,10.796,78.345,48.586
4/23/2005,0.93942,1.027,1.8,14.861,60.355,77.505
5/7/2005,0.68256,1.163,86.2,9.223,70.425,12.996
5/21/2005,0.49504,0.382,0.8,13.324,44.534,9.781
6/4/2005,0.54054,0.685,107.6,11.607,63.119,24.715
6/18/2005,0.10296,0.27,29,17.594,63.518,3.543
7/2/2005,0.02425,0.093,2.8,19.791,52.461,24.15
7/16/2005,0.01034,0.001,1.4,23.511,46.747,0.265
7/30/2005,0.06032,0.015,0.8,24.608,40.842,7.781
8/13/2005,0.03036,0.106,47.6,16.458,56.515,32.124
8/27/2005,0.01568,0.056,54.2,19.785,62.783,15.74
9/10/2005,0.16677,0.025,27.6,16.478,62.893,28.036
9/24/2005,0.4437,0.297,62.8,13.608,68.586,67.132
10/8/2005,0.17266,0.395,129,15.044,72.857,36.072
10/22/2005,4.00139,0.286,44.6,1.76,79.312,80.463
11/5/2005,0.58092,3.324,161.4,6.814,86.998,5.413
11/19/2005,0.64578,0.52,26.4,-1.953,70.676,57.432
12/3/2005,3.753,0.664,16.6,5.587,83.178,43.998
12/17/2005,1.69104,2.53,99.8,-3.617,79.855,33.426
12/31/2005,3.6783,2.022,43.8,1.22,81.825,59.308
1/14/2006,5.1516,6.562,106.2,4.44,87.898,25.961
1/28/2006,4.10262,1.875,76,8.394,75.941,14.643
2/11/2006,1.05781,5.756,106.8,-0.311,80.44,6.916
2/25/2006,1.02011,0.814,0.6,8.887,69.04,62.686
3/11/2006,6.62801,1.436,49,1.612,75.221,37.644
3/25/2006,3.7536,6.173,108.4,1.75,66.434,25.367
4/8/2006,3.78248,2.559,59.4,4.994,70.094,38.673
4/22/2006,2.6162,3.947,121.8,10.035,66.118,19.959
5/6/2006,0.74,1.583,53.8,13.756,65.769,14.916
5/20/2006,1.9737,0.606,13.4,13.043,66.401,106.264
6/3/2006,0.81968,0.904,96.2,14.99,74.649,90.189
6/17/2006,0.40273,0.874,56.4,11.436,77.374,4.503
7/1/2006,0.14742,0.254,7,22.913,65.947,19.449
7/15/2006,0.06693,0.086,53.8,21.417,59.246,17.708
7/29/2006,0.04704,0.075,3.6,20.791,58.032,1.585
8/12/2006,0.0252,0.034,8.2,21.16,61.285,24.446
8/26/2006,0.0076,0.003,23.2,19.707,54.619,1.984
9/9/2006,0.09409,0.007,11.4,20.559,55.617,102.749
9/23/2006,0.04452,0.043,48.4,8.911,68.622,66.71
10/7/2006,0.01365,0.023,28,8.958,76.43,2.606
10/21/2006,0.51088,0.012,4,11.451,71.953,47.43
11/4/2006,1.32715,0.984,153.4,10.582,80.476,45.136
11/18/2006,2.83929,1.996,123,6.26,85.532,11.344
12/2/2006,14.23528,5.597,145.4,3.15,79.536,52.055
12/16/2006,3.47831,12.266,342.6,3.939,84.766,35.96
12/30/2006,2.95952,2.059,62.8,-4.222,86.577,81.489
1/13/2007,5.43348,1.609,60,-1.811,88.631,41.555
1/27/2007,7.15824,7.778,105.4,1.06,87.043,36.803
2/10/2007,2.8994,9.463,218.4,3.924,86.246,20.901
2/24/2007,4.0236,1.761,31.4,2.172,69.247,35.241
3/10/2007,1.545,6.574,120,4.708,77.033,6.975
3/24/2007,4.51008,1.187,21,-1.038,61.357,56.714
4/7/2007,2.32083,6.014,161.8,8.345,74.336,40.818
4/21/2007,3.70006,1.747,39.6,7.264,73.64,66.324
5/5/2007,1.31472,3.216,120.8,11.236,79.628,26.795
5/19/2007,0.41587,0.881,9.2,15.1,64.236,4.155
6/2/2007,0.6572,0.398,40.8,12.451,58.4,36.24
6/16/2007,0.2232,0.329,61,20.282,64.202,24.903
6/30/2007,0.11628,0.256,36.4,15.906,68.107,50.812
7/14/2007,0.03395,0.096,24.6,16.128,68.3,0.114
7/28/2007,0.05928,0.03,11,20.624,53.363,0.041
8/11/2007,0.04429,0.072,25.2,19.996,60.068,58.816
8/25/2007,0.02266,0.044,45.6,22.991,62.777,48.286
9/8/2007,0.08554,0.016,17.4,16.073,63.854,35.633
9/22/2007,0.03952,0.182,79.8,15.68,78.229,50.128
10/6/2007,0.09009,0.018,5.2,13.859,75.985,5.829
10/20/2007,0.93732,0.166,29.4,3.748,74.649,40.393
11/3/2007,1.87308,0.174,116.6,6.654,84.522,79.014
11/17/2007,0.28152,1.823,146.8,9.119,86.923,6.327
12/1/2007,2.87345,0.241,27.6,7.576,85.509,92.095
