data,Qin,P1,T1,T2,RH1,P15
1/1/2002,2.527,0,-4.321,-2.713,85.778,
2/1/2002,1.655,0,-1.737,0.048,77.204,
3/1/2002,1.183,0,-2.855,-1.114,80.9,
4/1/2002,0.876,0,-6.271,-4.28,77.07,
5/1/2002,0.703,0,-0.498,-0.115,68.32,
6/1/2002,0.748,0,3.926,4.379,54.856,
7/1/2002,0.599,0,4.205,4.262,59.854,
8/1/2002,0.562,0,2.25,2.169,76.198,
9/1/2002,0.514,0,3.846,4.202,69.304,
10/1/2002,0.495,0,5.341,5.633,64.82,
11/1/2002,0.51,0,3.507,4.639,73.691,
12/1/2002,0.389,0,2.132,3.787,84.149,
13/01/2002,0.384,0,2.596,2.968,76.234,
14/01/2002,0.434,0,-2.536,-0.914,84.857,
15/01/2002,0.402,0,-5.433,-3.825,87.595,
16/01/2002,0.309,0,-4.822,-3.585,90.524,
17/01/2002,0.357,0,-3.318,-1.962,83.237,
18/01/2002,0.357,0,-1.639,-0.273,77.943,
19/01/2002,0.268,0,3.117,4.281,77.112,
20/01/2002,0.283,0,4.21,5.861,86.373,
21/01/2002,0.48,0,4.788,7.048,77.205,
22/01/2002,0.803,0,4.536,6.881,77.421,
23/01/2002,0.723,0,4.98,7.21,77.984,
24/01/2002,3.15,0,4.358,5.971,81.068,
25/01/2002,7.774,9.4,3.771,4.683,95.483,
26/01/2002,3.604,0.2,5.717,7.564,87.315,
27/01/2002,2.489,0,5.585,7.918,81.736,
28/01/2002,2.974,0.2,9.977,9.576,89.689,
29/01/2002,2.524,0.2,10.03,8.791,94.113,
30/01/2002,2.073,0,7.067,6.856,97.99,
31/01/2002,1.531,0,4.592,6.581,94.378,
1/2/2002,1.295,2.6,4.059,4.725,96.988,
2/2/2002,1.194,0.2,5.9,6.481,88.637,
3/2/2002,0.954,0.2,7.754,8.446,81.194,
4/2/2002,0.868,0,6.755,8.284,88.524,
5/2/2002,0.808,0.4,4.974,7.468,82.316,
6/2/2002,1.436,31.2,4.285,6.381,78.731,
7/2/2002,6.361,17.4,3.897,5.588,90.12,
8/2/2002,3.222,0,5.548,6.975,85.48,
9/2/2002,2.082,0,8.188,9.668,75.202,
10/2/2002,1.652,1.4,6.703,9.222,68.399,
11/2/2002,1.369,0,8.671,10.745,59.374,
12/2/2002,1.119,0,8.399,10.94,66.55,
13/02/2002,1.057,0,6.417,9.273,79.109,
14/02/2002,1.061,0,5.938,7.12,90.189,
15/02/2002,1.109,12.4,3.821,4.874,96.896,
16/02/2002,7.463,11,1.537,2.5,93.645,
17/02/2002,4.955,28.2,0.813,1.763,96.649,
18/02/2002,11.896,15.6,1.652,2.937,95.944,
19/02/2002,4.598,1.8,4.304,6.23,80.856,
20/02/2002,3.26,15,4.079,6.378,65.941,
21/02/2002,22.08,46.4,1.563,3.128,83.402,
22/02/2002,9.645,13.4,0.301,1.336,78.635,
23/02/2002,6.788,19,4.02,6.845,68.52,
24/02/2002,9.362,0,4.643,7.198,42.201,
25/02/2002,5.579,0,4.103,6.245,54.483,
26/02/2002,4.189,0.4,5.553,8.115,68.398,
27/02/2002,4.156,0,6.998,9.633,56.372,
28/02/2002,3.482,0.4,7.168,9.945,55.648,
1/3/2002,2.896,0,7.831,10.32,59.985,
2/3/2002,2.347,0,8.45,11.08,68.485,
3/3/2002,2.01,0,8.113,10.446,41.609,
4/3/2002,1.699,0,5.249,7.283,71.51,
5/3/2002,1.64,0,4.686,6.194,80.438,
6/3/2002,1.632,7.2,7.219,9.079,74.481,
7/3/2002,1.518,0,9.707,11.488,71.278,
8/3/2002,1.264,0,8.772,9.825,81.815,
9/3/2002,1.28,0,6.258,7.667,77.464,
10/3/2002,1.128,0.2,6.109,8.62,70.348,
11/3/2002,1.07,0.2,6.723,9.161,65.114,
12/3/2002,0.905,0,10.207,10.852,57.026,
13/03/2002,0.939,0,12.602,13.609,49.021,
14/03/2002,0.849,0,11.15,12.779,69.317,
15/03/2002,0.882,3.6,6.883,7.888,87.023,
16/03/2002,0.847,0.4,8.598,10.269,80.07,
17/03/2002,0.836,0.2,9.06,9.906,83.902,
18/03/2002,0.667,3,10.86,11.285,72.245,
19/03/2002,0.764,0,7.985,10.44,59.436,
20/03/2002,0.933,0,12.662,13.603,48.652,
21/03/2002,0.811,0,16.56,17.175,39.774,
22/03/2002,0.687,0,13.14,14.74,25.988,
23/03/2002,0.777,2.4,4.826,7.123,46.938,
24/03/2002,0.606,0,0.971,3.568,49.32,
25/03/2002,0.493,0,0.245,3.025,48.532,
26/03/2002,0.604,0,1.962,4.5,58.46,
27/03/2002,0.381,0,0.375,2.71,62.685,
28/03/2002,0.592,0,1.253,3.117,51.928,
29/03/2002,0.424,0,3.358,5.552,60.986,
30/03/2002,0.462,0,7.406,9.187,46.36,
31/03/2002,0.43,0,9.547,11.26,50.933,
1/4/2002,0.411,0,10.709,12.441,46.358,
2/4/2002,0.421,0,10.817,12.785,49.57,
3/4/2002,0.402,0,9.157,10.272,65.573,
4/4/2002,0.351,2.6,5.068,7.022,82.777,
5/4/2002,0.403,0,5.566,7.395,74.854,
6/4/2002,0.401,3.8,5.498,6.377,81.567,
7/4/2002,0.47,2.4,6.161,7.215,87.36,
8/4/2002,0.393,1.2,4.945,5.919,95.857,
9/4/2002,0.942,18.2,2.685,4.09,96.318,
10/4/2002,1.239,3.8,1.125,3.046,88.355,
11/4/2002,1.875,15.6,3.219,4.597,95.444,
12/4/2002,9.28,24.2,7.14,7.148,96.653,
13/04/2002,4.816,13.8,7.334,9.749,77.151,
14/04/2002,3.403,1.2,7.099,9.922,76.438,
15/04/2002,2.421,0,7.862,9.799,75.067,
16/04/2002,1.909,8.6,7.078,8.539,86.611,
17/04/2002,2.132,6.4,5.489,7.338,86.067,
18/04/2002,1.866,0,8.107,9.989,73.319,
19/04/2002,1.581,4.2,9.35,11.182,78.029,
20/04/2002,3.388,36,7.46,8.355,87.847,
21/04/2002,13.844,11,6.029,7.769,89.735,
22/04/2002,5.434,0.2,10.208,12.327,74.943,
23/04/2002,3.375,1.8,10.701,13.054,70.694,
24/04/2002,2.517,2,11.542,13.272,63.86,
25/04/2002,1.941,0.2,8.896,11.446,62.982,
26/04/2002,1.632,0,12.608,14.373,48.571,
27/04/2002,2.003,11.4,8.394,10.335,71.897,
28/04/2002,1.811,0.2,11.881,13.518,77.195,
